	786_0	A498	A549_ATCC	ACHN	BT_549	CAKI_1	CCRF_CEM	COLO_205	DU_145	EKVX	HCC_2998	HCT_116	HCT_15	HL_60_TB	HOP_62	HOP_92	HS_578T	HT29	IGROV1	KM12	K_562	LOX_IMVI	M14	MALME_3M	MCF7	MDA_MB_231_ATCC	MDA_MB_435	MDA_N	MOLT_4	NCI_ADR_RES	NCI_H226	NCI_H23	NCI_H322M	NCI_H460	NCI_H522	OVCAR_3	OVCAR_4	OVCAR_5	OVCAR_8	PC_3	RPMI_8226	RXF_393	SF_268	SF_295	SF_539	SK_MEL_2	SK_MEL_28	SK_MEL_5	SK_OV_3	SN12C	SNB_19	SNB_75	SR	SW_620	TK_10	T_47D	U251	UACC_257	UACC_62	UO_31
ACCN1	1.02078	1.85479	0.741939	1.64118	0.725912	0.644439	0.644439	0.627366	0.757396	1.60444	0.947924	0.725912	0.715167	0.33646	0.227887	0.859739	0.429752	0.562293	0.722634	0.752816	0.546543	0.164353	1.28194	0.788875	0.540329	0.450249	0.804821	0.563481	0.565848	0.60206	1.13033	0.549003	0.247973	0.800029	0.546543	1.10789	0.760422	0.322219	0.612784	0.271842	0.835691	0.553883	0.519828	0.52763	0.271842	0.677607	0.705008	0.694605	0.594393	1.31006	0.552668	0.666518	0.565848	0.769377	1.38561	0.673021	0.613842	0.439333	0.759668	1.20058
KCNJ10	1.2188	1.28081	1.15625	0.962843	1.08707	1.17869	0.930949	1.16938	1.43632	1.5432	1.22401	1.13481	1.17609	0.523746	0.120574	1.26951	0.628389	0.737193	1.35122	1.52231	0.322219	0.825426	0.766413	1.30685	0.765669	1.35583	0.778874	0.79796	0.568202	1.06558	1.03623	1.36248	0.814248	1.25115	1.08955	0.897627	0.977724	1.37125	1.33666	1.51799	1.32675	0.952308	0.475671	1.1807	1.39829	0.198657	1.07882	1.34301	1.53377	1.4504	1.5397	1.17231	1.09691	1.4682	1.2418	1.35044	0.803457	1.39217	1.33284	1.24724
IL7	0.267172	0.921686	0.937518	0.956649	1.07773	1.30471	-0.49485	0.893762	0.0128372	0.928908	0.925312	0.487138	1.19061	0.716003	1.06893	0.33646	0.684845	-0.091515	0.998259	1.25959	0.729974	1.34986	0.071882	0.848805	0.0293838	0.599883	1.24576	0.699838	0.647383	0.858537	0.963788	0.807535	-0.408935	1.11394	0.419956	0.780317	1.05805	0.565848	1.06408	0.136721	0.214844	1.12646	0.240549	1.68753	1.086	0.652246	0.683947	0.729165	1.00647	1.14145	0.201397	1.46598	1.56312	0.782473	-0.207608	0.898725	0.285557	0.509203	0.726727	0.885361
GPR143	0.340444	0.143015	0.214844	0.606381	0.63749	0.510545	0.899273	0.25042	0.603144	0.503791	0.404834	0.867467	0.30103	0.625312	0.390935	0.456366	0.814913	0.506505	0.553883	0.276462	0.480007	0.564666	2.52908	2.65957	0.783189	0.502427	2.48824	2.43959	0.396199	1.87413	0.539076	1.041	0.342423	0.193125	0.071882	0.294466	1.09517	0.193125	0.623249	0.928396	0.710963	0.176091	0.217484	0.212188	0.356026	1.05843	2.50734	2.66268	0.278754	0.40654	0.463893	0.392697	0.509203	0.625312	2.40365	0.338456	0.475671	2.88009	0.474216	1.84726
XK	0.32838	1.42193	1.6001	0.933487	1.08171	1.06819	1.04258	1.04961	1.58343	1.10721	1.83181	1.58512	1.86374	1.76223	1.01995	1.49234	1.06408	1.58973	1.39585	1.8926	2.21598	1.23629	-0.0315171	1.13672	1.45909	1.34124	1.06408	0.20412	0.00860017	1.53046	1.21827	1.48869	1.56937	1.3566	1.1959	1.47378	1.40432	1.67422	1.54382	1.60401	1.8996	0.98945	0.928396	1.17143	1.16584	1.29314	0.978637	1.30492	1.46687	0.352183	1.4961	1.20085	1.17493	1.3518	1.62931	1.48259	1.65849	0.969416	1.46	0.974972
JARID1D	1.6602	0.769377	1.61752	0.634477	0.711807	1.25139	0.428135	1.86599	1.71079	1.79253	1.18949	1.08207	1.97552	1.19229	1.0103	1.64992	0.722634	0.62634	1.031	1.52166	0.525045	0.837588	0.531479	1.81637	0.646404	0.540329	0.720159	0.993436	2.05968	0.454845	1.64365	0.604226	1.82769	2.05154	1.37365	1.43521	1.28847	0.933487	1.08314	1.1529	1.89542	0.680336	1.5164	1.18526	1.16197	1.39811	1.08493	0.867467	1.63568	1.46538	1.70655	0.818226	2.21461	0.439333	0.627366	1.12872	1.69854	1.25285	0.680336	1.34811
TEK	-0.251812	1.15442	-0.221849	0.881955	-0.0457575	1.21801	0.61066	-0.376751	1.16938	1.22968	1.1726	0.0211893	1.15806	0.698101	1.03181	1.52956	0.120574	-0.0268721	0.514548	-0.21467	0.222716	0.639486	0.522444	1.16406	0.747412	0.267172	0.797268	0.631444	-0.161151	0.761176	-0.00436481	0.657056	-0.0222764	1.06408	1.01115	0.905796	0.0334238	0.444045	0.267172	-0.0409586	0.664642	1.13609	1.30771	1.15685	0.817565	0.945961	0.58995	0.278754	0.679428	0.472756	-0.244125	-0.251812	0.793092	0.834421	0.730782	0.820201	0.100371	0.338456	1.14891	0.409933
TULP1	0.320146	1.18611	0.948413	1.29469	1.36455	0.892651	1.21669	0.522444	0.914343	1.29645	1.32552	0.136721	0.879669	0.820201	1.06446	0.814248	0.904716	1.09132	0.706718	1.31471	0.882525	0.478566	1.48344	0.687529	0.911158	0.874482	1.33143	0.488551	1.11992	0.511883	1.0162	0.547775	0.585461	0.798651	0.569374	0.469822	0.459392	1.13098	0.31597	1.34064	1.05385	0.531479	0.502427	0.681241	0.606381	0.363612	1.07591	0.4843	1.33626	0.68842	0.569374	0.977724	0.62634	0.664642	0.424882	0.591065	0.0863598	1.16137	1.54444	0.262451
NTF3	0.812245	1.30728	0.781037	2.13634	0.835691	0.958564	0.922725	0.80956	0.929419	0.840106	0.711807	0.913284	0.770852	0.939519	1.29601	1.15168	1.35257	0.835056	0.980912	0.980003	1.37493	0.940516	0.934498	0.881385	0.975891	0.856124	0.959041	0.916454	0.895975	1.67825	0.866878	0.871573	0.474216	1.05231	1.15746	2.25455	1.94141	0.711807	1.1116	0.876795	2.07958	1.9857	2.05454	1.34908	1.78053	1.06781	1.17551	0.96708	1.6097	0.926342	0.876795	1.86469	1.19479	0.873902	1.10551	0.71265	0.681241	1.23528	0.940516	2.24988
MYH8	0.158362	1.12189	0.83123	1.22557	-0.207608	1.086	0.367356	-0.130768	0.247973	0.863323	0.38739	0.841359	1.0249	1.041	0.130334	0.342423	0.720986	1.03342	1.3145	0.926857	0.758155	0.296665	0.895423	0.287802	0.305351	-0.481486	0.113943	0.58995	0.999131	1.09026	0.176091	0.924796	-0.30103	0.238046	1.00087	0.931458	1.02202	0.93044	0.593286	1.24895	0.448706	0.914343	0.872156	1.05843	0.409933	1.0013	-0.0132283	1.0406	1.22634	0.900367	0.779596	1.05767	0.948413	0.212188	0.243038	0.843233	0.868644	0.120574	1.06032	0.770852
EDG4	1.4312	1.77539	1.36021	0.677607	0.742725	0.50515	1.03141	1.82171	1.7629	1.62128	1.69117	1.97959	1.89159	1.35276	1.6066	1.33445	1.48387	1.64335	0.62634	1.75778	0.928908	1.40858	1.68655	1.58433	2.06893	1.62603	1.5387	0.813581	1.13001	1.69487	1.68106	1.48458	1.69099	0.668386	1.54716	1.75328	1.83219	1.6013	1.60563	1.77902	0.862131	1.58501	0.58995	1.44545	1.34733	1.69452	1.5437	1.5325	1.90455	1.50947	1.28914	1.37803	1.5012	1.69592	1.7574	1.8537	1.42749	1.36661	1.34577	1.67062
PGDS	1.20817	0.718502	1.44012	1.22634	1.04218	1.23274	0.874482	1.15503	1.50229	1.26245	1.43185	1.35736	1.19005	1.22531	1.01536	0.713491	1.36474	0.606381	0.41162	1.22298	0.453318	0.549003	1.4915	1.00903	1.29292	1.17173	1.4504	0.396199	0.920645	1.4014	0.30963	1.19424	1.01703	1.99105	0.502427	0.758155	0.676694	0.545307	1.39111	0.565848	1.1313	0.553883	0.984077	1.39724	1.16702	0.668386	0.92737	1.49332	1.56714	1.24699	1.24944	1.37621	1.40756	0.495544	1.51667	1.29842	0.396199	1.22272	0.62941	0.396199
C9	0.152288	0.578639	1.00043	-0.366532	-0.0757207	0.374748	1.29226	0.113943	0.367356	0.893762	0.790285	0.507856	0.683047	0.0334238	0.120574	0.252853	0.444045	0.075547	1.17955	0.850646	-0.207608	0.808886	0.247973	0.262451	0.531479	0.89098	0.759668	0.00860017	0.829947	-0.113509	0.85248	0.662758	0.552668	0.217484	0.0569049	0.544068	0.984527	0.773786	0.659916	1.12385	0.260071	0.20412	0.123852	0.09691	0.860338	0.571709	0.00860017	0.678518	-0.0604807	-0.0132283	0.0899051	0.0569049	0.320146	-0.119186	1.27875	-0.0362122	-0.0809219	0.764923	0.396199	0.862728
GRIA3	0.775246	0.822822	0.460898	-0.408935	0.238046	0.382017	-0.376751	0.817565	0.344392	-0.05061	0.970812	0.322219	0.925828	-0.0705811	0.071882	1.26788	0.240549	-0.337242	0.247973	0.599883	-0.49485	-0.387216	0.260071	0.178977	0.287802	-0.468521	0.262451	0.760422	-0.327902	-0.0315171	0.931458	0.340444	-0.207608	0.741939	0.0293838	0.252853	-0.283997	0.247973	0.632457	0.303196	-0.236572	0.0827854	-0.39794	0.281033	0.658965	-0.113509	0.783904	0.872739	-0.0555173	0.872739	0	0.902003	-0.119186	-0.142668	0.0827854	0.540329	0.0827854	-0.229148	-0.0655015	0.867467
CHRNA4	1.2003	1.10992	0.953276	0.571709	0.716838	1.16909	0.988559	1.0187	0.829947	1.14983	0.942504	1.31973	1.32346	1.46509	0.0606978	1.00561	0.910624	0.178977	0.161368	0.431364	1.25648	1.29048	1.41296	0.31597	1.27462	0.848805	1.22272	1.14082	1.25959	1.05881	1.06633	0.136721	1	1.03743	0.0681859	0.481443	0.798651	1.27692	0.338456	0.428135	0.918555	1.62055	0.873321	0.30103	1.19507	1.28012	0.434569	1.07151	1.36996	0.979093	0.164353	0.848805	1.02938	1.02036	0.705864	1.33244	0.975891	0.631444	1.13513	0.193125
HOXC5	0.90309	1.46909	1.74726	0.818885	0.790988	0.866287	0.956168	1.95114	1.64395	1.01745	0.723456	1.60336	0.866878	0.628389	0.576341	0.904716	1.65292	0.782473	0.860338	1.10992	0.641474	1.24773	0.85309	1.47407	1.69258	1.33244	1.03262	1.59129	1.51654	1.70586	0.943495	0.868056	0.437751	1.35526	1.1186	1.02036	1.00561	0.888179	0.956649	1.04021	1.03703	0.777427	1.55534	0.775246	1.60043	1.03141	0.89098	0.994757	1.03019	0.888741	1.4442	1.0461	0.766413	1.87535	1.13767	1.02735	0.777427	0.983626	0.857332	1.49679
FIGF	0.912753	1.43553	0.803457	0.594393	0.869818	1.36135	1.04571	0.488551	1.42012	1.27091	0.819544	1.36021	0.70927	0.514548	0.252853	1.51838	1.25527	1.04336	1.66455	0.555094	0.586587	1.36154	0.801404	1.31302	0.775246	1.16554	0.851258	1.38003	0.365488	0.385606	1.18949	1.35564	1.0216	1.73368	-0.0268721	1.01703	0.941014	0.717671	0.815578	1.43104	1.3006	0.731589	1.23019	1.20683	0.595496	1.53135	1.26576	1.39322	1.21564	1.32858	1.34733	1.27207	0.891537	0.624282	1.09795	1.09587	1.55666	1.37346	1.31513	0.830589
ASGR1	0.91698	1.12581	1.25479	0.732394	0.770115	0.322219	0.729974	0.79588	1.21511	0.4843	1.25382	0.103804	0.710963	0.681241	0.0253059	0.897077	0.342423	0.371068	0.292256	0.978181	-0.0861861	0.90309	0.285557	0.338456	1.12516	1.07445	0.726727	0.713491	0.509203	0.561101	0.810233	0.619093	0	0.854913	1.19396	0.78746	0.898176	0.591065	0.729974	0.5302	0.267172	0.796574	0.380211	0.572872	1.01242	0.324282	0.431364	0.173186	0.988113	1.24055	0.471292	0.220108	1.04961	0.80956	0.692847	0.214844	1.05956	0.544068	0.549003	0.963316
BFSP1	0.481443	1.656	1.23325	0.888741	0.719331	1.27715	0.346353	0.324282	1.28488	1.57008	0.127105	1.44295	0.62941	0.794488	1.38757	0.790988	0.612784	0.498311	1.23805	0.330414	0.100371	0.453318	1.76619	1.47698	1.32919	0.914343	0.755112	1.16406	0.96708	1.03543	0.20412	0.859138	1.21722	0.44248	0.790285	0.409933	0.00432137	1.11494	1.15442	0.737987	0.612784	0.127105	0.184691	0.541579	1.09237	1.40088	0.404834	0.436163	0.591065	1.28959	1.12646	1.1726	0.453318	1.31091	1.22194	1.44075	1.10449	0.305351	1.54419	1.20898
CD1B	0.737987	0.902547	0.70757	1.38021	0.769377	0.70927	2.17912	0.488551	0.736397	0.769377	1.10924	0.778874	1.36229	0.802774	0.90309	0.800029	0.729974	0.359835	0.658011	0.678518	0.466868	1.15168	1.34459	1.21958	0.992111	1.20629	1.40364	0.456366	3.21911	1.5914	0.980912	0.691081	0.240549	1.36211	0.448706	1.0141	1.32838	1.1271	0.511883	0.935507	0.434569	1.2222	0.627366	1.1784	0.796574	1.41313	1.26881	0.69897	0.783904	1.24773	1.41027	0.902547	0.718502	1.10789	1.25285	0.664642	1.14239	1.04493	0.850646	1.38632
MAFK	0.416641	0.55145	0.307496	1.12123	0.421604	0.264818	1.30728	0.356026	0.482874	0.838849	0.075547	1.13194	0.848805	1.23779	0.762679	0.908485	0.85187	0.883093	1.06819	0.884795	0.931458	0.376577	0.378398	0.0827854	1.34459	1.01912	0.928396	0.62941	0.744293	0.460898	0.198657	0.818226	0.969416	1.23502	0.482874	0.643453	0.961895	0.724276	1.08493	1.09934	0.881955	0.346353	0.95376	0.536558	0.472756	1.18013	0.472756	1.12156	0.509203	0.860338	1	0.745075	1.25744	0.326336	0.682145	1.33965	1.0162	0.330414	1.07004	0.555094
DFFB	1.03782	1.33224	1.4283	1.30514	1.63719	1.34143	1.7383	1.63458	1.197	0.33646	1.67348	1.54357	1.71508	1.82426	0.830589	1.66304	1.44902	1.51468	1.3483	1.60304	1.745	1.23477	1.76005	1.34439	0.489958	1.09307	1.84242	1.73504	1.56714	1.24155	0.346353	1.25042	1.17406	1.21932	1.5407	1.80441	0.997386	1.05538	1.33826	1.61055	1.66323	1.47144	1.35044	1.15685	1.25624	1.26928	1.64542	1.21458	1.14457	1.05881	1.29951	1.57715	1.62829	1.72123	0.692847	0.926342	1.41179	1.68151	1.58512	1.31723
CYP2B7P1	0.845098	1.04493	1.34694	1.33885	1.42602	0.595496	0.856729	2.44717	1.29667	1.29248	1.30211	0.800029	1.14364	0.683047	0.907411	1.13988	0.954243	0.859138	1.30081	1.55534	1.33506	0.940516	0.510545	1.07004	1.21112	1.41263	1.16286	1.05231	0.845098	1.43569	0.62634	0.91169	0.859739	0.689309	1.14208	0.874482	0.893207	2.55859	1.32552	1.16732	1.34713	1.00775	0.902547	1.47784	1.24105	1.19312	0.64836	0.587711	1.42586	1.09026	1.39637	1.36605	0.680336	1.47799	1.25455	1.32201	1.15412	1.31091	1.02572	1.21085
CYP2B6	0.392697	1.23528	0.749736	0.332438	0.454845	1.07078	0.893207	2.06896	1.3189	1.00604	1.17348	0.691081	0.471292	0.498311	0.434569	0.810904	1.00604	1.05652	0.471292	1.44809	1.07518	1.24576	0.806858	0.510545	1.10721	0.365488	1.34124	0.565848	0.55145	1.09026	1.30449	0.558709	0.432969	1.15076	0.127105	0.641474	1.20925	1.91808	1.38057	0.748963	0.472756	0.690196	0.532754	0.623249	1.09517	0.748963	0.673942	0.999131	1.62284	0.701568	0.40654	1.28398	1.041	0.988113	0.318063	1.36586	0.399674	0.857935	0.721811	1.01953
CHST7	1.73512	1.34889	1.1176	1.63124	0.359835	1.8607	0.574031	0.313867	0.836957	1.74202	1.23223	1.48058	1.16137	0.798651	1.38828	1.05614	1.66436	0.40654	2.08174	0.929419	0.155336	2.02152	0.550228	0.469822	0.296665	1.86982	0.534026	0.432969	0.619093	0.759668	1.38952	0.451786	0.759668	1.22115	1.54307	0.632457	1.12775	1.57887	0.474216	1.68413	1.6288	1.65456	1.7273	1.31387	1.14208	0.214844	0.287802	0.579784	1.03663	1.9464	1.82007	0.904716	0.552668	0.773786	1.24254	0.632457	2.05011	0.155336	0.766413	0.783904
EDN2	2.25857	1.88581	1.65379	2.66773	1.12254	1.30728	0.760422	0.793092	0.971276	1.15412	0.716003	0.859739	1.25042	0.919601	0.914343	0.736397	1.19921	0.480007	1.87749	0.878522	0.662758	0.676694	1.11494	0.61066	1.36324	0.721811	1.46135	0.371068	0.318063	0.788168	0.501059	0.549003	0.456366	0.624282	0.659916	2.04708	2.7091	1.26741	0.950365	1.23172	1.17926	1.22453	0.431364	0.444045	0.632457	0.761928	1.19948	0.594393	1.94091	0.604226	0.499687	0.635484	0.613842	0.767898	1.59362	1.29159	1.29688	0.605305	1.42911	1.74194
CD96	0.517196	0.627366	0.403121	1.07445	0.572872	1.08991	1.84011	0.942504	1.01745	1.23325	0.926857	0.437751	0.778874	1.02531	1.02938	0.436163	0.38739	0.980003	1.08529	0.0791812	0.862728	0.214844	0.385606	1.26623	0.862131	0.421604	0.96895	0.883093	2.1438	0.414973	1.07408	0.686636	0.0413927	0.448706	0.977266	0.338456	0.456366	0.58995	0.944976	1.10072	0.985426	1.12905	0.607455	0.986324	0.598791	1.72754	-0.0604807	1.1758	1.64503	0.311754	1.01536	0.460898	0.672098	-0.119186	1.12418	0.747412	-0.0268721	1.20898	1.31302	1.2159
RPL3L	1.27068	0.82866	0.699838	1.27761	0.11059	0.702431	1.28713	1.21827	0.558709	0.78533	0.753583	0.588832	0.619093	1.4143	0.731589	0.597695	0.627366	0.703291	0.758912	0.701568	0.414973	0.292256	1.38003	0.824126	0.814913	0.849419	0.399674	1.2465	0.376577	1.20493	0.127105	0.227887	1.32777	1.14799	0.851258	1.2383	1.37548	1.24279	0.117271	0.570543	1.14799	0.962843	0.40824	0.866287	0.502427	0.503791	0.62941	1.16584	1.69688	0.800029	1.00043	0.459392	0.62941	0.684845	1.05767	0.609594	0.0253059	1.05918	1.3092	0.437751
TMSB4Y	0.69897	1.25551	0.454845	1.45652	1.71096	0.439333	0.789581	1.34301	0.91698	0.92993	0.877371	1.15137	1.75043	1.67532	0.913814	0.670246	1.00988	0.695482	1.28511	1.45071	1.04961	0.987666	0.607455	0.49693	1.36586	0.818226	0.40654	1.10003	1.18977	1.51957	1.41044	0.693727	1.22141	1.07809	0.892651	0.830589	0.587711	1.46523	1.19893	0.730782	1.46479	1.52647	1.32201	1.13799	0.805501	0.860937	0.745855	0.683047	1.62798	0.79588	0.454845	1.27646	0.96708	0.565848	0.808886	0.788168	0.719331	0.510545	0.528917	0.681241
PTHR2	0.729165	1.78618	1.39498	0.806858	0.996512	1.17143	1.38364	0.944976	1.0086	1.21748	0.357935	1.23528	1.18355	1.65916	0.318063	1.3681	1.07591	1.08778	0.517196	0.705008	0.372912	1.02325	1.24428	1.37694	1.47363	1.07591	1.33224	1.08458	1.18127	1.3668	1.19451	1.25816	0.525045	1.30038	0.701568	1.11227	1.59605	1.08171	1.19368	0.984077	1.12024	1.2033	0.264818	1.1014	0.40824	0.670246	1.08135	1.20058	1.06633	1.31597	1.06483	1.15076	0.416641	1.17725	1.42586	0.431364	0.534026	1.02284	1.17493	1.32777
KLRC1 /// KLRC2	0.173186	0.0413927	0.30103	0.167317	0.117271	1.07846	0.100371	0.045323	-0.167491	0.245513	0.176091	1.74858	0.800717	-0.0861861	0.622214	0.460898	-0.124939	1.47144	-0.200659	0.49276	-0.619789	0.869818	-0.420216	-0.0409586	0.255273	0.071882	1.24477	1.08135	0.332438	0.20412	0.946943	2.214	0.860937	0.117271	0.0791812	0.361728	-0.148742	1.0607	2.2164	0.117271	0.434569	-0.0177288	-0.455932	-0.167491	1.74468	1.10721	-0.0757207	0.100371	0.274158	0.198657	-0.154902	0.245513	-0.229148	1.47756	0.318063	-0.130768	-0.356547	0.834421	-0.200659	1.02119
HTN3 /// CGNL1	0.0681859	0.075547	0.564666	0.612784	0.326336	-0.091515	-0.29243	0.356026	0.238046	-0.0362122	0.187521	-0.180456	-0.102373	-0.0132283	-0.21467	0.322219	-0.091515	0.161368	0.788168	0.0374265	0.120574	0.0681859	-0.0705811	0.0128372	0.178977	0.136721	0.0791812	1.50229	0.139879	0.313867	0.103804	0.0293838	-0.136677	0.139879	-0.113509	0.247973	-0.0809219	-0.09691	0.149219	0.243038	0.361728	0.20412	-0.0757207	-0.107905	0.245513	-0.0604807	-0.408935	2.55381	0.184691	0.206826	-0.161151	0.161368	-0.21467	0.0413927	0.372912	0.0253059	0.0293838	-0.19382	0	0.0569049
BRDT	0.892095	0.130334	0.11059	-0.136677	0.924796	0.926857	-0.107905	0.827369	1.12613	1.03181	1.09691	0.900913	0.247973	0.278754	1.0103	0.986772	0.834421	0.83187	0.684845	0.817565	0.123852	1.12808	0.155336	1.0892	0.382017	0.895975	1.06221	0.0606978	0.654177	0.0681859	0.133539	-0.0268721	0.899821	0.604226	0.296665	0.558709	1.0216	0.136721	0.739572	0.958086	-0.236572	0.478566	0.737193	0.62634	0.643453	1.03463	0.814913	0.742725	0.612784	0.919601	0.727541	1.08529	0.921686	0.932474	0.588832	1.04922	0.655138	0.752048	0.936514	0.870404
WISP1	1.1427	0.11059	0.113943	0.825426	0.334454	1.2572	1.31492	0.49276	1.02857	1.07408	1.2003	0.606381	1.35102	1.11294	0.926342	0.896526	2.44118	0.457882	0.721811	0.184691	0.730782	1.12872	0.4133	1.04376	0.790988	1.15503	0.968016	0.264818	0.576341	1.16017	0.534026	1.03663	0.445604	0.621176	0.768638	0.357935	1.10924	0.572872	0.768638	0.632457	0.841359	0.620136	1.33405	1.37051	2.95451	1.40088	0.788875	0.4843	0.920123	0.761928	0.232996	2.27017	0.975432	0.214844	0.489958	0.944976	0.372912	0.0170333	1.14082	1.04258
NPPB	1.15564	0.557507	1.40192	1.45743	1.31597	1.18696	1.12743	1.1383	0.444045	1.21325	1.09377	0.987219	1.01578	1.11494	2.18648	1.47494	2.12385	1.32593	0.326336	1.15473	0.294466	0.92737	1.45286	1.04961	0.737193	1.01703	1.0162	1.09342	1.34025	1.23654	2.98539	1.28058	1.03181	1.48601	1.30341	1.3587	2.66642	1.19424	1.16967	1.24625	0.945961	1.22634	3.19273	0.761176	0.971276	0.960471	0.136721	1.25864	1.43313	1.35908	0.980003	0.421604	1.08672	1.37088	1.55883	1.31973	1.31827	1.12385	1.2307	2.22204
PDYN	0.678518	1.13033	1.1209	0.645422	0.992995	0.181844	0.671173	1.09656	1.46	1.36493	1.27346	0.919601	0.571709	0.715167	0.209515	0.62634	0.634477	0.100371	1.54307	1.16909	0.545307	0.987219	0.863323	0.178977	1.44762	0.668386	1.17782	0.313867	0.62941	0.820201	0.553883	0.618048	0.0530784	1.39846	0.376577	0.729974	0.71265	0.842609	1.00689	1.11361	1.07445	0.58995	0.900913	1.11126	0.478566	0.671173	0.498311	1.09899	0.752048	0.764176	0.338456	0.632457	1.23121	0.78533	0.876218	1.18355	0.396199	0.668386	0.70757	0.332438
CD3G	0.858537	0.790988	0.836324	0.70927	0.838219	0.810233	2.56963	0.808886	0.813581	0.675778	0.748188	0.741939	0.698101	1.21958	0.389166	0.849419	0.679428	0.650308	0.383815	1.00689	0.611723	0.836957	0.956168	0.722634	1.21748	0.644439	0.539076	0.549003	2.54662	0.788875	0.812245	0.5302	0.519828	0.893207	0.694605	0.970812	0.731589	0.649335	0.866287	0.832509	0.773786	0.652246	0.469822	0.563481	0.663701	0.855519	0.597695	0.755875	0.789581	0.683047	0.746634	0.694605	0.878522	0.634477	0.693727	0.725095	0.518514	0.662758	1.03743	0.882525
DGKI	1.37785	1.52711	0.733999	0.89487	1.10072	1.30814	1.43088	0.0934217	-0.0268721	1.06819	0.972666	0.783904	-0.0655015	0.559907	0.523746	1.53212	1.61868	0.587711	0.847573	1.26975	0.720986	1.34498	0.298853	1.15106	1.20763	0.806858	1.59934	1.65302	0.468347	1.16376	1.17696	0.843233	0.0791812	0.748188	0.352183	1.04689	1.01912	0.871573	0.613842	1.25237	1.05115	1.73392	1.0461	1.25188	1.28533	1.42553	1.48911	0.385606	1.31323	0.190332	1.10721	1.25455	1.11361	0.859739	1.18611	0.941511	0.960471	1.54851	1.90423	1.02407
HNRPA3P1	1.08279	0.390935	1.32919	0.723456	1.25188	1.11826	0.173186	0.829304	1.08458	0.702431	0.58995	0.96895	1.06446	1.35717	1.33062	1.42406	0.702431	0.925312	0.587711	1.18752	0.762679	1.20003	0.816904	0.477121	1.00561	0.914872	0.797268	0.488551	0.990783	0.392697	1.31323	0.230449	-0.113509	1.40976	1.04999	1.18583	1.1038	1.13956	1.06408	1.30146	1.19756	0.55145	0.383815	0.776701	1.14829	0.64836	1.13258	0.96708	0.680336	1.05652	0.781037	1.14582	1.24005	0.1959	0.850646	0.550228	0.812245	0.69897	1.21352	0.920123
ZNF44	1.22994	0.818226	0.123852	0.870989	0.539076	-0.107905	0.290035	0.167317	0.374748	0.836324	0.338456	1.01912	0.790988	0.385606	0.11059	0.480007	0.0569049	0.722634	1.10653	1.04493	0.867467	0.44248	0.802089	0.0791812	1.1827	-0.387216	-0.19382	-0.0268721	1.00389	0.346353	0.883093	0.045323	0.1959	0.178977	0.472756	1.01745	-0.327902	0.365488	0.515874	0.471292	0.350248	0.049218	0.278754	0.100371	-0.29243	-0.0409586	-0.376751	0.344392	1.43823	0.509203	0.158362	0.951338	0.913814	1.01452	1.48968	0.876795	0.103804	0.429752	0.423246	0.390935
CTF1	1.4707	0.999131	0.85187	1.59329	1.53097	1.42651	1.2383	0.983626	1.06258	1.45788	0.974972	1.71617	0.815578	1.14582	0.998259	1.16613	1.60853	1.31048	1.03981	0.897077	0.383815	1.09587	1.4312	1.5266	1.34518	1.70689	1.10483	0.540329	1.09517	0.887617	1.51812	1.59671	0.808886	1.031	1.64276	0.864511	1.67495	1.84117	1.47114	1.84298	0.797268	1.33706	1.35199	0.598791	1.55703	0.965202	0.764923	0.945961	1.61721	1.35717	0.731589	1.25624	1.38382	0.904174	1.34143	1.7195	1.32715	1.29754	1.36361	1.36455
NGFB	0.540329	0.915927	1.15198	1.24055	1.88852	0.550228	0.372912	0.933487	1.84205	0.609594	0.977266	1.13609	0.468347	0.928396	0.363612	0.597695	2.11501	0.781037	0.676694	0.419956	0.888741	0.383815	1.19618	0.619093	0.506505	1.5649	0.55145	1.06483	0.78746	0.556303	2.14245	0.640481	0.647383	0.835056	0.471292	0.585461	0.583199	0.603144	1.24005	0.860338	0.986772	1.65772	2.46667	0.363612	0.539076	0.845098	0.255273	0.463893	0.803457	1.27439	0.482874	1.07591	0.414973	0.451786	1.55157	0.365488	0.750508	0.173186	0.718502	1.36586
CES4	0.810233	-0.0315171	0.416641	0.0827854	0.808211	0.257679	0.501059	0.0569049	1.09621	0.178977	0.252853	0.252853	0.176091	0.459392	1.04139	0.820858	0.209515	0.0569049	1.00732	0.0791812	0.225309	0.38739	0.997823	0.330414	0.350248	-0.0604807	0.338456	0.0374265	-0.00436481	0.361728	0.133539	0.0606978	0.287802	0.181844	0.419956	0.40654	0.895423	0.705008	-0.0177288	0.230449	0.587711	0.0827854	1.01452	0.045323	0.136721	0.489958	0.0791812	0.0863598	0.562293	0.414973	0.423246	0.173186	0.075547	0.959995	1.32098	0.899273	0.146128	0.0569049	0.385606	0.0170333
